,premise,hypothesis,label
1101,"બીજી બાજુ, કણો અને ત્રણ નોનગ્રેવિટેશનલ દળોને સ્પિન નેટવર્ક પિક્ચરમાં સામેલ કરવાના બાકી છે.",સ્પિન નેટવર્ક ચિત્ર પૂર્ણ થાય તે માટે નોનગ્રેવિટેશનલ ફોર્સનો સમાવેશ કરવો આવશ્યક છે.,1
1102,"બીજી બાજુ, કણો અને ત્રણ નોનગ્રેવિટેશનલ દળોને સ્પિન નેટવર્ક પિક્ચરમાં સામેલ કરવાના બાકી છે.",કણો પહેલેથી જ સામેલ કરવામાં આવ્યા હતા.,2
1103,"બીજી બાજુ, કણો અને ત્રણ નોનગ્રેવિટેશનલ દળોને સ્પિન નેટવર્ક પિક્ચરમાં સામેલ કરવાના બાકી છે.",ત્યાં ત્રણ બિન-ગુરુત્વાકર્ષણીય દળો છે.,0
1104,"વેક્વેરો કલ્ચર અને કેલિફોર્નિયા પર મેક્સીકન સોનોરાન્સની અસરની યાદમાં, રોજાસ ચિકાનો સંસ્કૃતિની એક બાજુ દર્શાવે છે જે સામાન્ય રીતે જાણીતી નથી.",ઘણા ચિકાનો વાક્વેરોસના વંશજ છે.,1
1105,"વેક્વેરો કલ્ચર અને કેલિફોર્નિયા પર મેક્સીકન સોનોરાન્સની અસરની યાદમાં, રોજાસ ચિકાનો સંસ્કૃતિની એક બાજુ દર્શાવે છે જે સામાન્ય રીતે જાણીતી નથી.",વાક્વેરો સંસ્કૃતિ ચિકાનો સંસ્કૃતિ સાથે સંબંધિત છે.,0
1106,"વેક્વેરો કલ્ચર અને કેલિફોર્નિયા પર મેક્સીકન સોનોરાન્સની અસરની યાદમાં, રોજાસ ચિકાનો સંસ્કૃતિની એક બાજુ દર્શાવે છે જે સામાન્ય રીતે જાણીતી નથી.",વેક્વેરોસ અને મેક્સીકન સોનોરાન્સને ચિકાનો સંસ્કૃતિ સાથે કોઈ લેવાદેવા નથી.,2
1107,"ડેનેટ ડાર્વિનિયન જીવો, પાવલોવિયન જીવો, પોપેરિયન જીવો અને ગ્રેગોરિયન જીવોને અલગ પાડે છે.","ડેનેટ માને છે કે ડાર્વિનિયન, પાવલોવિયન, પોપેરિયન અને ગ્રેગોરિયન જીવો બરાબર સમાન છે.",2
1108,"ડેનેટ ડાર્વિનિયન જીવો, પાવલોવિયન જીવો, પોપેરિયન જીવો અને ગ્રેગોરિયન જીવોને અલગ પાડે છે.","ડેનેટ ડાર્વિનિયન, પાવલોવિયન, પોપેરિયન અને ગ્રેગોરિયન જીવો વચ્ચેના તફાવતોને પારખે છે.",0
1109,"ડેનેટ ડાર્વિનિયન જીવો, પાવલોવિયન જીવો, પોપેરિયન જીવો અને ગ્રેગોરિયન જીવોને અલગ પાડે છે.",ડેનેટ ડાર્વિનિયન જીવોને પસંદ કરે છે.,1
1110,"આ સંતુલનમાંથી એક સરળ વિસ્થાપન છે, અને એક સરળ ઉપકરણ, મીકા ફ્લેક, ભૂકંપ માટે બનાવવામાં આવશે, તેથી, યાંત્રિક કાર્યને બહાર કાઢો.",સંતુલનમાંથી કંઈક વિસ્થાપિત થયું છે.,0
1111,"આ સંતુલનમાંથી એક સરળ વિસ્થાપન છે, અને એક સરળ ઉપકરણ, મીકા ફ્લેક, ભૂકંપ માટે બનાવવામાં આવશે, તેથી, યાંત્રિક કાર્યને બહાર કાઢો.",મીકા ફ્લેક એક જટિલ ઉપકરણ છે.,2
1112,"આ સંતુલનમાંથી એક સરળ વિસ્થાપન છે, અને એક સરળ ઉપકરણ, મીકા ફ્લેક, ભૂકંપ માટે બનાવવામાં આવશે, તેથી, યાંત્રિક કાર્યને બહાર કાઢો.",વિસ્થાપન દર મહત્વપૂર્ણ છે.,1
1113,"સંશોધકોના પ્રશ્નોના જવાબમાં, તેઓ વારંવાર કહે છે કે બાળકોને પ્રથમ થોડા મહિનાથી આત્મનિર્ભર બનવાની તાલીમ આપવી જોઈએ.",તેઓ કહે છે કે બાળકોને પોતાને ખવડાવવું જોઈએ.,1
1114,"સંશોધકોના પ્રશ્નોના જવાબમાં, તેઓ વારંવાર કહે છે કે બાળકોને પ્રથમ થોડા મહિનાથી આત્મનિર્ભર બનવાની તાલીમ આપવી જોઈએ.",તેઓ કહે છે કે બાળકો સ્વતંત્ર હોવા જોઈએ.,0
1115,"સંશોધકોના પ્રશ્નોના જવાબમાં, તેઓ વારંવાર કહે છે કે બાળકોને પ્રથમ થોડા મહિનાથી આત્મનિર્ભર બનવાની તાલીમ આપવી જોઈએ.",તેઓ કહે છે કે બાળકો 21 વર્ષના થાય ત્યાં સુધી તેમની માતા પર નિર્ભર રહેવું જોઈએ.,2
1116,હકીકતની દુનિયામાં મૂલ્યનું સ્થાન ક્યાં છે?,વિશ્વ હકીકત સાથે વ્યવહાર કરે છે.,0
1117,હકીકતની દુનિયામાં મૂલ્યનું સ્થાન ક્યાં છે?,ત્યાં કોઈ તથ્યો સાથે વ્યવહાર કરવામાં આવ્યો નથી.,2
1118,હકીકતની દુનિયામાં મૂલ્યનું સ્થાન ક્યાં છે?,અમે તથ્ય સિવાય અન્ય કંઈપણ સાથે વ્યવહાર કરવાનો ઇનકાર કરીએ છીએ.,1
1119,"1868 અને ચૌદમા સુધારાના અમલીકરણ સુધીમાં, આપણે બંધારણીય ક્રાંતિના થ્રેશોલ્ડ પર ઊભા હતા.",ચૌદમો સુધારો વિસ્તૃત વાટાઘાટો પછી માત્ર બે મતથી પસાર થયો.,1
1120,"1868 અને ચૌદમા સુધારાના અમલીકરણ સુધીમાં, આપણે બંધારણીય ક્રાંતિના થ્રેશોલ્ડ પર ઊભા હતા.",ચૌદમો સુધારો 1868માં ઘડવામાં આવ્યો હતો.,0
1121,"1868 અને ચૌદમા સુધારાના અમલીકરણ સુધીમાં, આપણે બંધારણીય ક્રાંતિના થ્રેશોલ્ડ પર ઊભા હતા.",બંધારણ હંમેશા ખૂબ જ સ્થિર રહ્યું છે અને ક્યારેય વાસ્તવિક કટોકટી રજૂ કરી નથી.,2
1122,તે રસપ્રદ છે કે સમાન લક્ષણ સમગ્ર અર્થતંત્રમાં થઈ શકે છે.,તે આશ્ચર્યજનક નથી કે સમાન લક્ષણને સૂક્ષ્મ અર્થતંત્રમાં કોઈ સ્થાન નથી.,2
1123,તે રસપ્રદ છે કે સમાન લક્ષણ સમગ્ર અર્થતંત્રમાં થઈ શકે છે.,તે નોંધવું યોગ્ય છે કે સમાન લક્ષણ સમગ્ર અર્થતંત્રમાં થઈ શકે છે.,0
1124,તે રસપ્રદ છે કે સમાન લક્ષણ સમગ્ર અર્થતંત્રમાં થઈ શકે છે.,કેટલાકને તે રસપ્રદ લાગે છે કે ડિજિટલ ઇકોનોમી સેક્ટરમાં સમાન લક્ષણ આવી શકે છે.,1
1125,તેઓ ટિયોતિહુઆકનમાં પિરામિડની નજીક સ્થિત સાન ઓગસ્ટિન એકોલમેનના નાના ગામમાં ઉદ્ભવ્યા હતા.,"સાન ઓગસ્ટિન એકોલમેનમાં 1,000 કરતાં ઓછા રહેવાસીઓ છે.",1
1126,તેઓ ટિયોતિહુઆકનમાં પિરામિડની નજીક સ્થિત સાન ઓગસ્ટિન એકોલમેનના નાના ગામમાં ઉદ્ભવ્યા હતા.,સાન ઓગસ્ટિન એકોલમેન ઇંગ્લેન્ડનું એક મોટું શહેર છે.,2
1127,તેઓ ટિયોતિહુઆકનમાં પિરામિડની નજીક સ્થિત સાન ઓગસ્ટિન એકોલમેનના નાના ગામમાં ઉદ્ભવ્યા હતા.,સાન ઓગસ્ટિન એકોલમેન ટિયોતિહુઆકન નજીકનું ગામ છે.,0
1128,"કારણ કે સત્ય એ છે કે ઇમારત' ભલે ગમે તેટલી ઉપયોગી અથવા સારી રીતે બાંધવામાં આવેલી અથવા સુંદર હોય' તે લોકો જે રીતે જોખમી પોશાક પહેરે છે તેના પ્રત્યે સહાનુભૂતિ ધરાવતા નથી, તે માત્ર અપ્રમાણિક જ નહીં, પરંતુ તદ્દન મૂર્ખ લાગે છે.",મકાન સુંદર પણ નકામું હોઈ શકે છે.,2
1129,"કારણ કે સત્ય એ છે કે ઇમારત' ભલે ગમે તેટલી ઉપયોગી અથવા સારી રીતે બાંધવામાં આવેલી અથવા સુંદર હોય' તે લોકો જે રીતે જોખમી પોશાક પહેરે છે તેના પ્રત્યે સહાનુભૂતિ ધરાવતા નથી, તે માત્ર અપ્રમાણિક જ નહીં, પરંતુ તદ્દન મૂર્ખ લાગે છે.",મકાન ઉપયોગી થયા વિના સુંદર ન હોઈ શકે.,0
1130,"કારણ કે સત્ય એ છે કે ઇમારત' ભલે ગમે તેટલી ઉપયોગી અથવા સારી રીતે બાંધવામાં આવેલી અથવા સુંદર હોય' તે લોકો જે રીતે જોખમી પોશાક પહેરે છે તેના પ્રત્યે સહાનુભૂતિ ધરાવતા નથી, તે માત્ર અપ્રમાણિક જ નહીં, પરંતુ તદ્દન મૂર્ખ લાગે છે.",જો વિકલાંગ લોકો તેમાં ન જઈ શકે તો મકાન સુંદર ન હોઈ શકે.,1
1131,"હું કહેવા માંગુ છું કે તે સમુદાયનો સમાવેશ કરતા સ્વાયત્ત એજન્ટો વ્યક્તિગત રીતે અને સામૂહિક રીતે, તેમના વિશ્વની રચના કરતી કુદરતી રમતોમાં જીવનનિર્વાહ કેવી રીતે મેળવવું તે મૂર્ત સ્વરૂપ જાણતા હતા.",સમુદાયમાં એજન્ટો આજીવિકા કરી શકે છે.,0
1132,"હું કહેવા માંગુ છું કે તે સમુદાયનો સમાવેશ કરતા સ્વાયત્ત એજન્ટો વ્યક્તિગત રીતે અને સામૂહિક રીતે, તેમના વિશ્વની રચના કરતી કુદરતી રમતોમાં જીવનનિર્વાહ કેવી રીતે મેળવવું તે મૂર્ત સ્વરૂપ જાણતા હતા.","એજન્ટોએ $80,000 કમાયા.",1
1133,"હું કહેવા માંગુ છું કે તે સમુદાયનો સમાવેશ કરતા સ્વાયત્ત એજન્ટો વ્યક્તિગત રીતે અને સામૂહિક રીતે, તેમના વિશ્વની રચના કરતી કુદરતી રમતોમાં જીવનનિર્વાહ કેવી રીતે મેળવવું તે મૂર્ત સ્વરૂપ જાણતા હતા.",એજન્ટોને ચૂકવણી કરવામાં સક્ષમ ન હતા.,2
1134,ઘણીવાર માત્ર એક જ વ્યક્તિ જે કાડા ડી મોલેરાનો ઈલાજ કરી શકે છે તે કુરેન્ડેરા છે.,ક્યુરેન્ડેરાસ ફ્લૂને પણ મટાડે છે.,1
1135,ઘણીવાર માત્ર એક જ વ્યક્તિ જે કાડા ડી મોલેરાનો ઈલાજ કરી શકે છે તે કુરેન્ડેરા છે.,કુરેન્ડેરાસ સર્કસના જોકરો છે.,2
1136,ઘણીવાર માત્ર એક જ વ્યક્તિ જે કાડા ડી મોલેરાનો ઈલાજ કરી શકે છે તે કુરેન્ડેરા છે.,કુરેન્ડેરાસ ઘણીવાર કેડા ડી મોલેરાનો ઉપચાર કરે છે.,0
1137,"મેક્સીકન લોક સંગીતના સંદર્ભમાં લા કેન્સિયન રાંચેરા એ એક પ્રેમ ગીત છે, જે સામાન્ય લોક, ગ્રામીણ ગ્રામ્ય વિસ્તારના ખેડૂતો દ્વારા ગવાય છે.",La cancien rancheras એ મેક્સિકોના ગ્રામીણ ખેડુતો દ્વારા ગવાયેલા પ્રેમ ગીતો છે.,0
1138,"મેક્સીકન લોક સંગીતના સંદર્ભમાં લા કેન્સિયન રાંચેરા એ એક પ્રેમ ગીત છે, જે સામાન્ય લોક, ગ્રામીણ ગ્રામ્ય વિસ્તારના ખેડૂતો દ્વારા ગવાય છે.",La cancien rancheras મોટે ભાગે સ્ત્રીઓ દ્વારા ગાય છે.,1
1139,"મેક્સીકન લોક સંગીતના સંદર્ભમાં લા કેન્સિયન રાંચેરા એ એક પ્રેમ ગીત છે, જે સામાન્ય લોક, ગ્રામીણ ગ્રામ્ય વિસ્તારના ખેડૂતો દ્વારા ગવાય છે.",La cancien rancheras એ ગીતો છે જે ફક્ત વંદો ઉપદ્રવ સાથે કામ કરે છે.,2
1140,બીજો આઘાતજનક મુદ્દો ઓમ્નેસનો દાવો છે કે કેટલાક અવલોકનક્ષમ અવલોકન કરી શકાતા નથી.,Omnes કહ્યું તમે બધું જોઈ શકો છો.,2
1141,બીજો આઘાતજનક મુદ્દો ઓમ્નેસનો દાવો છે કે કેટલાક અવલોકનક્ષમ અવલોકન કરી શકાતા નથી.,Omnes જણાવ્યું હતું કે તમે સમાજમાં ફેરફારો જોઈ શકતા નથી.,1
1142,બીજો આઘાતજનક મુદ્દો ઓમ્નેસનો દાવો છે કે કેટલાક અવલોકનક્ષમ અવલોકન કરી શકાતા નથી.,ઓમ્નેસે કહ્યું કે તમે કેટલીક વસ્તુઓ જોઈ શકતા નથી.,0
1143,"જેમ કે ગુપ્ત બંધારણ ફરીથી અમેરિકન રાજકારણમાં પોતાને ફરીથી સ્થાપિત કરશે, અમે પંદરમા સુધારાના વચનને પણ ગંભીરતાથી લઈશું.",પંદરમો સુધારો તરત જ રદ કરવામાં આવ્યો અને ક્યારેય પસાર થયો.,2
1144,"જેમ કે ગુપ્ત બંધારણ ફરીથી અમેરિકન રાજકારણમાં પોતાને ફરીથી સ્થાપિત કરશે, અમે પંદરમા સુધારાના વચનને પણ ગંભીરતાથી લઈશું.",પંદરમો સુધારો વધુ ગંભીરતાથી લેવામાં આવ્યો હતો કારણ કે ગુપ્ત બંધારણે પોતાને ફરીથી ભારપૂર્વક જણાવ્યું હતું.,0
1145,"જેમ કે ગુપ્ત બંધારણ ફરીથી અમેરિકન રાજકારણમાં પોતાને ફરીથી સ્થાપિત કરશે, અમે પંદરમા સુધારાના વચનને પણ ગંભીરતાથી લઈશું.","ગુપ્ત બંધારણ નિયમિત બંધારણ જેવું જ છે, પરંતુ અદ્રશ્ય શાહીથી લખાયેલું છે.",1
1146,"જ્યાં સુધી તમે અંકગણિત ન કરો ત્યાં સુધી તમને ખ્યાલ નથી આવતો કે, લિંકનના મગજમાં, સ્થાપનાની નિર્ણાયક ક્ષણ 1776 હતી, સ્વતંત્રતાની ઘોષણા પર હસ્તાક્ષર.",લિંકનનું માનવું હતું કે રાષ્ટ્રની સ્થાપના સાચા અર્થમાં પ્રથમ રાષ્ટ્રપતિની ચૂંટણી પછી થઈ હતી.,2
1147,"જ્યાં સુધી તમે અંકગણિત ન કરો ત્યાં સુધી તમને ખ્યાલ નથી આવતો કે, લિંકનના મગજમાં, સ્થાપનાની નિર્ણાયક ક્ષણ 1776 હતી, સ્વતંત્રતાની ઘોષણા પર હસ્તાક્ષર.",લિંકનનું માનવું હતું કે સ્વતંત્રતાની ઘોષણા પર હસ્તાક્ષર એ સ્થાપનાને ચિહ્નિત કરે છે.,0
1148,"જ્યાં સુધી તમે અંકગણિત ન કરો ત્યાં સુધી તમને ખ્યાલ નથી આવતો કે, લિંકનના મગજમાં, સ્થાપનાની નિર્ણાયક ક્ષણ 1776 હતી, સ્વતંત્રતાની ઘોષણા પર હસ્તાક્ષર.",ઘણા ઇતિહાસકારો લિંકનના આ તારીખોના અર્થઘટન સાથે અસંમત છે.,1
1149,તેમ છતાં જો હું હૂડની આરસીએ બિલ્ડીંગની ગ્રોપિયસની પાન એમ (આજની મેટલાઈફ) બિલ્ડીંગ સાથે તુલના કરું તો તેમાં કોઈ શંકા નથી કે કોણ વધુ સર્જનાત્મક ડિઝાઇનર હતા.,હૂડની આરસીએ બિલ્ડીંગમાં વધુ સર્જનાત્મક ડિઝાઇનર હતા.,1
1150,તેમ છતાં જો હું હૂડની આરસીએ બિલ્ડીંગની ગ્રોપિયસની પાન એમ (આજની મેટલાઈફ) બિલ્ડીંગ સાથે તુલના કરું તો તેમાં કોઈ શંકા નથી કે કોણ વધુ સર્જનાત્મક ડિઝાઇનર હતા.,હૂડની આરસીએ બિલ્ડીંગની સરખામણી ગ્રોપિયસની પેન એમ બિલ્ડીંગ સાથે કરવામાં આવી રહી છે.,0
1151,તેમ છતાં જો હું હૂડની આરસીએ બિલ્ડીંગની ગ્રોપિયસની પાન એમ (આજની મેટલાઈફ) બિલ્ડીંગ સાથે તુલના કરું તો તેમાં કોઈ શંકા નથી કે કોણ વધુ સર્જનાત્મક ડિઝાઇનર હતા.,બેમાંથી કોઈ બિલ્ડિંગમાં સર્જનાત્મક ડિઝાઇનર નહોતા.,2
1152,"દક્ષિણપશ્ચિમમાં હજુ પણ ગવાતા બે ખૂબ જ જૂના રોમાંસ લા ડેલગાડીના છે, જે વ્યભિચાર સાથે સંબંધિત છે અને લા એપેરિસિયન, જે સ્પેનમાં પંદરમી સદીના છે.",લા ડેલગાડીના સંપૂર્ણપણે અદૃશ્ય થઈ ગઈ છે.,2
1153,"દક્ષિણપશ્ચિમમાં હજુ પણ ગવાતા બે ખૂબ જ જૂના રોમાંસ લા ડેલગાડીના છે, જે વ્યભિચાર સાથે સંબંધિત છે અને લા એપેરિસિયન, જે સ્પેનમાં પંદરમી સદીના છે.",લા ડેલગાડીના હજુ પણ ન્યુ મેક્સિકોમાં હાજર છે.,1
1154,"દક્ષિણપશ્ચિમમાં હજુ પણ ગવાતા બે ખૂબ જ જૂના રોમાંસ લા ડેલગાડીના છે, જે વ્યભિચાર સાથે સંબંધિત છે અને લા એપેરિસિયન, જે સ્પેનમાં પંદરમી સદીના છે.",લા ડેલગાડીના હજુ પણ દક્ષિણપશ્ચિમમાં હાજર છે.,0
1155,"આ જ સંકેત દ્વારા, ચંચળ ઉપભોક્તાઓ, અસંખ્ય વેચાણની સીઝન અને વિભાજિત બજારો સાથે સંકળાયેલા એકંદર જોખમ'તેમજ વિદેશી સ્પર્ધા સાથે'એ હાલમાં આને અમેરિકન રિટેલર્સ અને ઉત્પાદકો માટે મુશ્કેલ ક્ષેત્ર બનાવ્યું છે.",90% અમેરિકન રિટેલર્સ નિષ્ફળ રહ્યા છે.,1
1156,"આ જ સંકેત દ્વારા, ચંચળ ઉપભોક્તાઓ, અસંખ્ય વેચાણની સીઝન અને વિભાજિત બજારો સાથે સંકળાયેલા એકંદર જોખમ'તેમજ વિદેશી સ્પર્ધા સાથે'એ હાલમાં આને અમેરિકન રિટેલર્સ અને ઉત્પાદકો માટે મુશ્કેલ ક્ષેત્ર બનાવ્યું છે.",અમેરિકન છૂટક વિક્રેતાઓ અત્યારે સમૃદ્ધ છે.,2
1157,"આ જ સંકેત દ્વારા, ચંચળ ઉપભોક્તાઓ, અસંખ્ય વેચાણની સીઝન અને વિભાજિત બજારો સાથે સંકળાયેલા એકંદર જોખમ'તેમજ વિદેશી સ્પર્ધા સાથે'એ હાલમાં આને અમેરિકન રિટેલર્સ અને ઉત્પાદકો માટે મુશ્કેલ ક્ષેત્ર બનાવ્યું છે.",અમેરિકન રિટેલરો માટે સારું કરવું મુશ્કેલ છે.,0
1158,મેરેડિથની સામાન્ય ફેશનમાં માર મારતી વખતે સોન્જા બાળક રડતો હતો.,"મેરેડિથની પુત્રી, સોન્જા રડતી હતી અને માર મારતી હતી.",1
1159,મેરેડિથની સામાન્ય ફેશનમાં માર મારતી વખતે સોન્જા બાળક રડતો હતો.,મેરેડિથના લાક્ષણિક વર્તનમાં ફરતી વખતે સોન્જા ઉન્માદથી રડતી હતી.,0
1160,મેરેડિથની સામાન્ય ફેશનમાં માર મારતી વખતે સોન્જા બાળક રડતો હતો.,"સોન્જા, જે એક મોટી ઉંમરની સ્ત્રી હતી તે ઉદાસ દેખાતી હતી પરંતુ મેરેડિથના ચહેરા પર તેણે પોતાનું સંયમ જાળવી રાખ્યું હતું.",2
1161,"તે ક્વાડ તરીકે ઓળખાતી વિદ્યાર્થીની શયનગૃહની બાજુમાં છે, એક મનોહર જેકોબિયન રિવાઇવલ સંકુલ આંગણાની શ્રેણીની આસપાસ આયોજિત છે.",ક્વાડ એક વાળંદની દુકાન છે.,2
1162,"તે ક્વાડ તરીકે ઓળખાતી વિદ્યાર્થીની શયનગૃહની બાજુમાં છે, એક મનોહર જેકોબિયન રિવાઇવલ સંકુલ આંગણાની શ્રેણીની આસપાસ આયોજિત છે.",ક્વાડ એ એક કોઇડ વિદ્યાર્થી શયનગૃહ છે.,1
1163,"તે ક્વાડ તરીકે ઓળખાતી વિદ્યાર્થીની શયનગૃહની બાજુમાં છે, એક મનોહર જેકોબિયન રિવાઇવલ સંકુલ આંગણાની શ્રેણીની આસપાસ આયોજિત છે.",ક્વાડ એ વિદ્યાર્થી શયનગૃહ છે.,0
1164,અન્યો ગ્રાહકને પૂરતા પ્રમાણમાં ખુશ કરતા નથી.,બેઝબોલ્સ પૂરતા સફેદ નથી.,1
1165,અન્યો ગ્રાહકને પૂરતા પ્રમાણમાં ખુશ કરતા નથી.,બીજાઓ ખરાબ કામ કરી રહ્યા છે.,0
1166,અન્યો ગ્રાહકને પૂરતા પ્રમાણમાં ખુશ કરતા નથી.,અન્ય પૂરતા છે.,2
1167,"અમારા સિમ્યુલેશનમાંથી દોરવા માટેનો મુખ્ય નિષ્કર્ષ એ છે કે એક અથવા વધુ ઑટોકેટાલિટીક અને કાર્ય ચક્રને જોડતા સ્વાયત્ત એજન્ટો એકદમ વાજબી છે, જો નવલકથા, બિનસંતુલનનું સ્વરૂપ, ખુલ્લું રાસાયણિક પ્રતિક્રિયા નેટવર્ક.",અમે અમારા સિમ્યુલેશનમાંથી નિષ્કર્ષ દોરી શકીએ છીએ.,0
1168,"અમારા સિમ્યુલેશનમાંથી દોરવા માટેનો મુખ્ય નિષ્કર્ષ એ છે કે એક અથવા વધુ ઑટોકેટાલિટીક અને કાર્ય ચક્રને જોડતા સ્વાયત્ત એજન્ટો એકદમ વાજબી છે, જો નવલકથા, બિનસંતુલનનું સ્વરૂપ, ખુલ્લું રાસાયણિક પ્રતિક્રિયા નેટવર્ક.",અમે કમ્પ્યુટર પર કરેલા સિમ્યુલેશનમાંથી નિષ્કર્ષ કાઢી શકીએ છીએ.,1
1169,"અમારા સિમ્યુલેશનમાંથી દોરવા માટેનો મુખ્ય નિષ્કર્ષ એ છે કે એક અથવા વધુ ઑટોકેટાલિટીક અને કાર્ય ચક્રને જોડતા સ્વાયત્ત એજન્ટો એકદમ વાજબી છે, જો નવલકથા, બિનસંતુલનનું સ્વરૂપ, ખુલ્લું રાસાયણિક પ્રતિક્રિયા નેટવર્ક.",અમે કોઈ તારણો કાઢી શકતા નથી.,2
1170,પરિણામ એ છે કે આદેશિત શાસનમાં હિમપ્રપાતનું લાક્ષણિક કદનું વિતરણ અને અસ્તવ્યસ્ત શાસનમાં ખૂબ જ અલગ વિતરણ છે.,શાસન ઉત્તરમાં છે.,1
1171,પરિણામ એ છે કે આદેશિત શાસનમાં હિમપ્રપાતનું લાક્ષણિક કદનું વિતરણ અને અસ્તવ્યસ્ત શાસનમાં ખૂબ જ અલગ વિતરણ છે.,શાસનમાં હિમપ્રપાત છે.,0
1172,પરિણામ એ છે કે આદેશિત શાસનમાં હિમપ્રપાતનું લાક્ષણિક કદનું વિતરણ અને અસ્તવ્યસ્ત શાસનમાં ખૂબ જ અલગ વિતરણ છે.,શાસનમાં કોઈ હિમપ્રપાત નથી.,2
1173,"એડોબ ઇંટો માટી અને રેતીના મિશ્રણમાંથી બનાવવામાં આવે છે, જેને ક્યારેક માત્ર કાદવ-સ્ટ્રો કહેવામાં આવે છે, અને સૂર્યની ગરમીથી ધીમે ધીમે સુકાઈ જાય છે.","એડોબ ઇંટો ગરમ, સૂકી જગ્યાએ બનાવવી જોઈએ.",1
1174,"એડોબ ઇંટો માટી અને રેતીના મિશ્રણમાંથી બનાવવામાં આવે છે, જેને ક્યારેક માત્ર કાદવ-સ્ટ્રો કહેવામાં આવે છે, અને સૂર્યની ગરમીથી ધીમે ધીમે સુકાઈ જાય છે.",એડોબ ઇંટો બનાવવા માટે માટીનો ઉપયોગ ક્યારેય થતો નથી.,2
1175,"એડોબ ઇંટો માટી અને રેતીના મિશ્રણમાંથી બનાવવામાં આવે છે, જેને ક્યારેક માત્ર કાદવ-સ્ટ્રો કહેવામાં આવે છે, અને સૂર્યની ગરમીથી ધીમે ધીમે સુકાઈ જાય છે.",એડોબ ઇંટો બનાવવા માટે માટી-સ્ટ્રોનો ઉપયોગ થાય છે.,0
1176,"નાગરિકોના વિશેષાધિકારો અને પ્રતિરક્ષાને નવા ઓર્ડરના મુખ્ય મૂલ્ય તરીકે લેવાથી, જેમ કે બ્લેક કરે છે, કાયદા હેઠળ સમાનતાની પોતાની સમસ્યાઓ ઊભી કરે છે.",નાગરિકો તેમના વિશેષાધિકારો સરકાર દ્વારા લઈ શકે છે.,1
1177,"નાગરિકોના વિશેષાધિકારો અને પ્રતિરક્ષાને નવા ઓર્ડરના મુખ્ય મૂલ્ય તરીકે લેવાથી, જેમ કે બ્લેક કરે છે, કાયદા હેઠળ સમાનતાની પોતાની સમસ્યાઓ ઊભી કરે છે.",નાગરિકો તેમના વિશેષાધિકારો લઈ શકે છે.,0
1178,"નાગરિકોના વિશેષાધિકારો અને પ્રતિરક્ષાને નવા ઓર્ડરના મુખ્ય મૂલ્ય તરીકે લેવાથી, જેમ કે બ્લેક કરે છે, કાયદા હેઠળ સમાનતાની પોતાની સમસ્યાઓ ઊભી કરે છે.",નાગરિકો ક્યારેય તેમના અધિકારો ગુમાવી શકતા નથી.,2
1179,"ઘણીવાર, આ પ્રારંભિક ભીંતચિત્રોને લોકોની કલા તરીકે ઓળખવામાં આવતી હતી.",તે સમયે વિવેચકોએ ભીંતચિત્રોને લોકોની કળા ગણાવી હતી.,1
1180,"ઘણીવાર, આ પ્રારંભિક ભીંતચિત્રોને લોકોની કલા તરીકે ઓળખવામાં આવતી હતી.",પ્રારંભિક શિલ્પોને ઘણીવાર દેવતાઓની કળા તરીકે ઓળખવામાં આવતી હતી.,2
1181,"ઘણીવાર, આ પ્રારંભિક ભીંતચિત્રોને લોકોની કલા તરીકે ઓળખવામાં આવતી હતી.",પહેલાના સમયના ભીંતચિત્રોને લોકોની કળા તરીકે ઓળખવામાં આવતી હતી.,0
1182,"કેટલાક પ્રકારોમાં એક યુવાન છોકરી ખાસ કરીને ગુડ ફ્રાઈડે, ધાર્મિક પવિત્ર દિવસ અને ચિકાનો કેથોલિક પરિવારોમાં પ્રાર્થનાના આદરણીય દિવસ પર નૃત્યમાં જવાનો આગ્રહ કરીને ધાર્મિક માન્યતાઓનું ઉલ્લંઘન કરે છે.",એક છોકરી ગુડ ફ્રાઈડે પર ડાન્સ કરવા માંગતી હતી.,0
1183,"કેટલાક પ્રકારોમાં એક યુવાન છોકરી ખાસ કરીને ગુડ ફ્રાઈડે, ધાર્મિક પવિત્ર દિવસ અને ચિકાનો કેથોલિક પરિવારોમાં પ્રાર્થનાના આદરણીય દિવસ પર નૃત્યમાં જવાનો આગ્રહ કરીને ધાર્મિક માન્યતાઓનું ઉલ્લંઘન કરે છે.",છોકરી જાણતી હતી કે તે ચર્ચમાં જવા સિવાય કંઈ કરી શકતી નથી.,2
1184,"કેટલાક પ્રકારોમાં એક યુવાન છોકરી ખાસ કરીને ગુડ ફ્રાઈડે, ધાર્મિક પવિત્ર દિવસ અને ચિકાનો કેથોલિક પરિવારોમાં પ્રાર્થનાના આદરણીય દિવસ પર નૃત્યમાં જવાનો આગ્રહ કરીને ધાર્મિક માન્યતાઓનું ઉલ્લંઘન કરે છે.",છોકરીઓના માતા-પિતાએ તેને ગુડ ફ્રાઈડે પર ડાન્સ કરવા બદલ ગ્રાઉન્ડ કર્યો હતો.,1
1185,"યોજના એ જનરેટર છે જેનો ઉપદેશ લે કોર્બુઝિયરે આપ્યો હતો, પરંતુ ગેહરી સાથે, યોજના પરિણામ છે.",યોજના મહત્વપૂર્ણ છે.,0
